id,energy
1,-90.10787994300517
2,-69.92764655700375
3,-69.97921355700328
4,-73.40230216199598
5,-78.93672358700314
6,-97.13931672400577
7,-83.9430852650039
8,-83.41655716199966
9,-84.07750336800382
10,-69.21084563000386
11,-83.58382016199903
12,-61.305448805997
13,-63.38122795200252
14,-73.09677480600112
15,-75.92582341100388
16,-76.26898641100433
17,-103.34698640200622
18,-77.13017458700324
19,-67.75349448399538
20,-68.92882663000364
21,-77.10990548399968
22,-84.65505336800379
23,-78.37783969000338
24,-97.07309172400528
25,-76.36314251400381
26,-83.83663126500414
27,-96.99009272400599
28,-83.95159826500458
29,-90.3459420460049
30,-81.19230101600533
31,-36.88341399100136
32,-79.09380258700367
33,-90.82995804600523
34,-83.278579161999
35,-97.0551157240061
36,-67.04122055700373
37,-66.35900748399581
38,-71.40364101200248
39,-90.0678369430052
40,-67.03369648399712
41,-46.660210274002566
42,-90.47937394300516
43,-85.93883036800435
44,-90.81701904600504
45,-67.12315955700342
46,-68.40067066000302
47,-78.04008269000315
48,-74.50629523500447
49,-90.25375094300489
50,-66.90752648399575
51,-84.68023026500396
52,-68.7001906600035
53,-84.46387736800443
54,-84.3294453680046
55,-83.68897526500405
56,-97.0411567240053
57,-64.32142795200252
58,-97.05237772400596
59,-64.66641195200282
60,-84.51344826500463
61,-67.85917055700338
62,-84.73253536800439
63,-75.84466330800478
64,-66.98967248400368
65,-83.99652336800409
66,-76.37301541100442
67,-62.26688887900309
68,-72.853133806002
69,-83.71465426500436
70,-83.41167716199925
71,-80.8735090160053
72,-90.91168804600511
73,-90.24324994300514
74,-90.28589394300525
75,-90.29065494300539
76,-75.08109733800393
77,-68.58720966000328
78,-90.10832094300531
79,-75.09577233800428
80,-97.22349172400573
81,-51.250020523001695
82,-82.39670308900531
83,-74.4392332350044
84,-84.05822336800429
85,-103.28791840200665
86,-81.18972501600456
87,-65.86617423100233
88,-90.3588160460049
89,-76.08201241100414
90,-68.32461155700366
91,-62.91173295200315
92,-96.56426962100613
93,-78.82231658700312
94,-79.90452669000388
95,-84.5262423680042
96,-63.84772995200274
97,-78.17276648400002
98,-77.61233758700382
99,-83.36926516199856
100,-64.98389905500244
101,-90.2546750460051
102,-83.88131526500456
103,-84.02226826500464
104,-69.69555263000348
105,-97.17279072400561
106,-90.3834060460049
107,-72.33186280600057
108,-77.22899558700374
109,-63.903892952002934
110,-66.31957623100243
111,-83.75778116199945
112,-91.19580094300545
113,-76.2424894110045
114,-96.95353372400587
115,-63.24534295200283
116,-90.7801680460052
117,-69.29213363000326
